id,Sex,Length,Diameter,Height,Weight,Shucked Weight,Viscera Weight,Shell Weight,Age
84,F,1.7,1.35,0.4625,44.395317,20.48251375,6.98815175,13.99047825,13.0
85,F,1.175,0.9375,0.3,13.99047825,6.23689,3.72795925,3.8271825,7.0
86,F,1.5625,1.225,0.425,38.55532,18.75319425,6.08096775,9.922325,10.0
87,I,0.875,0.6625,0.25,6.50621025,2.65067825,1.31825175,1.984465,6.0
88,F,1.5375,1.2125,0.4125,35.02580725,15.94659375,7.824462,9.07184,9.0
89,F,1.425,1.1375,0.4375,28.44872325,15.57805025,5.71242425,8.6465975,9.0
90,F,1.45,1.15,0.475,28.64716975,10.262519,5.556502,11.056305,14.0
91,I,0.35,0.2625,0.0875,0.56699,0.1417475,0.09922325,0.1417475,4.0
92,M,1.5125,1.175,0.3875,32.92794425,16.3009625,8.051258,8.9300925,12.0
93,F,1.375,1.075,0.4,23.5017355,9.28446125,4.4508715,8.17883075,12.0
94,M,1.45,1.05,0.3625,24.62154075,10.432616,4.63514325,7.2291225,11.0
95,I,1.4375,1.1375,0.375,27.555714,12.68640125,6.2652395,6.7755305,9.0
96,I,1.375,1.0875,0.35,19.97222275,8.3631025,4.97533725,5.386405,8.0
97,M,1.75,1.4125,0.5125,47.173568,12.3320325,7.98038425,16.44271,19.0
98,I,1.0375,0.75,0.2,9.4970825,4.8477645,1.65844575,2.19708625,6.0
99,M,1.675,1.275,0.3625,36.78347625,17.5483405,8.221355,8.50485,10.0
100,I,0.8875,0.6625,0.225,5.5281525,2.19708625,0.86465975,1.8427175,7.0
101,I,1.0125,0.7875,0.275,9.8939755,4.03980375,1.6726205,2.36718325,8.0
102,I,1.05,0.8125,0.2625,10.98543125,4.97533725,2.4097075,2.891649,8.0
103,I,0.95,0.725,0.25,8.17883075,3.21766825,1.60174675,2.324659,7.0
104,F,1.7375,1.425,0.4875,55.06890375,22.6512505,14.72756525,15.03940975,10.0
105,M,1.425,1.1125,0.375,27.78251,13.777857,5.556502,7.087375,9.0
106,I,0.925,0.675,0.225,6.30776375,2.6932025,1.37495075,1.984465,7.0
107,M,1.1875,0.9375,0.3125,13.25339125,6.02426875,2.8066005,3.8271825,8.0
108,I,1.3,1.025,0.35,20.25571775,8.66077225,4.01145425,5.6982495,10.0
109,I,0.975,0.725,0.2375,7.52679225,3.04757125,1.54504775,2.26796,7.0
110,I,1.4,1.075,0.3125,23.71435675,11.963489,4.3374735,6.520385,7.0
111,M,1.3125,1.0125,0.45,22.11261,9.11436425,5.59902625,5.5281525,9.0
112,F,1.7125,1.4375,0.4875,49.90929475,16.82542825,10.8578585,17.57669,18.0
113,I,0.5125,0.3875,0.1625,1.31825175,0.5386405,0.4252425,0.340194,4.0
114,M,1.5625,1.1875,0.4375,31.808139,11.60912025,6.690482,8.9300925,19.0
115,M,1.625,1.2375,0.4375,35.98969025,15.025235,7.6827145,9.11436425,13.0
116,F,1.55,1.2375,0.3875,35.2384285,16.68368075,7.200773,9.7805775,13.0
117,F,1.6,1.2,0.3875,36.61337925,16.612807,8.63242275,8.9300925,9.0
118,I,0.7,0.5,0.175,3.515338,1.54504775,0.60951425,0.850485,5.0
119,F,1.4625,1.0875,0.4125,27.0170735,9.525432,8.221355,8.9300925,14.0
120,F,1.675,1.2625,0.4125,39.405805,20.87940675,8.0229085,10.77281,9.0
121,M,1.475,1.1625,0.3875,29.24250925,13.16834275,6.64795775,8.0796075,9.0
122,M,1.2125,0.9375,0.3375,15.83319575,6.7188315,3.30271675,4.6776675,11.0
123,F,1.1,0.875,0.2875,11.509897,4.9611625,2.36718325,3.8271825,8.0
124,M,1.5,1.1875,0.4375,33.962701,14.968536,6.73300625,8.9300925,10.0
125,M,1.5625,1.225,0.4375,34.31706975,15.025235,6.53455975,8.7599955,11.0
126,I,1.3,1.0,0.3125,16.839603,8.68912175,3.742134,4.876114,8.0
127,M,1.4625,1.1875,0.375,25.51455,10.41844125,6.22271525,7.2291225,8.0
128,I,0.875,0.6625,0.2125,5.59902625,2.2963095,1.3324265,1.984465,7.0
129,F,1.5625,1.2375,0.4375,31.51046925,13.1825175,7.37087,9.63883,15.0
130,I,1.3,1.0625,0.325,18.313777,9.8372765,3.7704835,4.819415,8.0
131,F,1.55,1.25,0.4,35.5786225,14.911837,8.29222875,9.07184,11.0
132,F,1.25,0.9625,0.3375,18.767369,6.44951125,4.025629,5.6699,13.0
133,I,1.075,0.8375,0.275,9.7238785,4.8477645,2.4097075,2.6932025,6.0
134,M,1.55,1.1625,0.4,33.9910505,17.42076775,7.3425205,8.9300925,11.0
135,F,1.6125,1.2625,0.4125,37.37881575,15.43630275,8.03708325,10.0640725,13.0
136,F,1.2625,0.9875,0.35,18.07280625,7.8528115,3.7704835,5.6699,10.0
137,M,1.375,1.0625,0.325,20.638436,9.51125725,4.86193925,6.463686,10.0
138,F,1.675,1.35,0.45,43.02036625,12.927372,10.2908685,13.891255,19.0
139,I,0.875,0.65,0.225,5.6415505,2.211261,1.2757275,1.97029025,6.0
140,I,0.825,0.6,0.2125,4.6209685,1.9561155,1.2757275,1.70097,7.0
141,F,1.3,1.0,0.4,21.44639675,7.3992195,4.57844425,7.654365,15.0
142,M,1.575,1.2625,0.4375,35.02580725,14.16057525,7.52679225,9.4970825,10.0
143,M,1.775,1.425,0.5375,53.6089045,26.7902775,12.47378,14.3164975,11.0
144,M,1.4125,1.1625,0.3625,25.84056925,11.75086775,6.27941425,7.4559185,9.0
145,F,1.4875,1.175,0.35,26.18076325,11.113004,6.98815175,8.9300925,14.0
146,F,1.625,1.3125,0.475,49.32813,23.6151335,11.38232425,11.3398,11.0
147,I,0.7375,0.5625,0.175,3.515338,1.20485375,0.78193775,1.13398,6.0
148,F,0.9625,0.75,0.2375,7.72523875,2.551455,1.9561155,2.551455,9.0
149,I,0.9375,0.6875,0.225,6.33611325,2.721552,1.0489315,2.26796,7.0
150,I,1.2125,0.9125,0.275,14.69921575,7.07320025,3.4869885,3.8271825,8.0
151,M,1.55,1.2,0.4375,29.937072,12.2753335,6.13766675,9.2135875,9.0
152,I,1.0375,0.775,0.225,8.51902475,3.41611475,1.63009625,2.83495,6.0
153,I,1.6125,1.2875,0.4875,40.029494,17.08057375,9.015141,11.7650425,14.0
154,I,1.3125,1.0375,0.3625,21.50309575,9.2702865,4.1673765,5.20213325,11.0
155,M,1.525,1.2125,0.4375,34.9549335,18.1153305,7.3992195,8.50485,9.0
156,M,0.9625,0.7125,0.3,7.72523875,3.2601925,1.77184375,2.4097075,10.0
157,F,1.5625,1.2125,0.4375,29.44095575,12.3887315,6.08096775,9.7805775,14.0
158,M,1.4125,1.075,0.3625,26.2799865,9.4403835,5.8683465,8.3631025,11.0
159,F,1.6875,1.35,0.5,50.972401,21.98503725,11.12717875,12.8990225,11.0
160,I,0.85,0.675,0.225,5.443104,2.154562,1.4458245,1.984465,7.0
161,M,1.175,0.9125,0.35,12.757275,4.32329875,2.721552,4.1106775,9.0
162,M,1.425,1.1125,0.325,24.323871,8.674947,4.89028875,8.0796075,14.0
163,F,1.5625,1.2125,0.475,33.55163325,12.530479,8.7599955,10.84368375,18.0
164,M,1.6,1.3125,0.5,41.4186195,12.927372,8.0229085,11.623295,20.0
165,M,1.6125,1.2625,0.4625,40.029494,18.086981,8.901743,9.63883,10.0
166,F,1.3625,1.1,0.3125,25.51455,8.1930055,5.216308,7.7961125,14.0
167,F,1.3125,0.95,0.325,16.9246515,7.78193775,3.64291075,5.046211,10.0
168,F,1.7,1.3125,0.4375,44.0834725,17.8885345,10.432616,12.20445975,11.0
169,M,1.1,0.8375,0.3125,11.509897,4.77689075,1.77184375,3.685435,8.0
170,I,1.3,1.025,0.3125,16.2442635,7.257472,3.50116325,5.10291,8.0
171,M,1.575,1.2125,0.4125,30.1922175,12.813974,7.3425205,8.0796075,11.0
172,M,1.475,1.1375,0.4,43.0628905,22.69377475,9.525432,8.6465975,10.0
173,F,1.65,1.3125,0.5,45.71356875,20.70930975,11.793392,12.0485375,10.0
174,I,1.0,0.725,0.2375,7.144074,3.912231,1.7293195,2.26796,6.0
175,F,1.65,1.2375,0.3875,36.55668025,17.93105875,8.7032965,8.788345,9.0
176,F,1.5,1.2,0.4375,36.18813675,14.2030995,8.391452,11.623295,17.0
177,F,1.4,1.1,0.35,22.75047375,8.91591775,5.74077375,6.23689,14.0
178,F,1.3625,1.0,0.3625,23.019794,9.25611175,4.479221,6.9456275,15.0
179,F,1.425,1.1375,0.45,25.7696955,8.57572375,5.2446575,7.087375,21.0
180,I,1.3875,1.075,0.3625,20.62426125,9.62465525,4.479221,6.23689,9.0
181,F,1.5625,1.2,0.425,34.26584,16.5277585,7.89533575,8.9300925,9.0
182,I,1.3375,1.05,0.3625,21.6873675,9.355335,4.479221,5.6699,10.0
183,M,1.3125,0.95,0.325,17.08057375,8.34892775,3.98310475,4.9611625,9.0
184,M,1.45,1.1375,0.4,28.7180435,12.4454305,6.633783,6.87475375,9.0
185,F,1.55,1.2,0.425,33.8209535,14.81261375,8.60407325,8.788345,9.0
186,I,1.6375,1.2,0.45,33.92017675,16.93882625,7.52679225,8.9300925,10.0
187,I,0.3875,0.2625,0.1125,1.28990225,0.18427175,0.1417475,0.1417475,5.0
188,F,1.175,0.925,0.3125,14.571643,6.30776375,3.75630875,4.3941725,8.0
189,F,1.4375,1.2125,0.4125,30.674159,12.643877,7.3992195,8.50485,12.0
190,I,1.3125,1.0,0.35,17.7184375,6.64795775,3.7137845,6.3219385,12.0
191,M,0.825,0.5625,0.2125,3.92640575,1.417475,0.680388,1.5592225,13.0
192,F,1.3625,1.025,0.35,21.38969775,7.55514175,4.86193925,6.9456275,12.0
193,I,0.7,0.525,0.1875,3.41611475,1.2190285,0.80796075,1.13398,5.0
194,I,1.2875,0.9875,0.35,16.2442635,8.97261675,3.6003865,4.9611625,7.0
195,F,1.4875,1.15,0.4125,28.859791,13.1258185,5.08873525,8.788345,9.0
196,F,1.4875,1.1375,0.4125,32.715323,15.4504775,6.066793,8.9300925,9.0
197,I,1.075,0.7875,0.2625,9.07184,4.9611625,1.8427175,2.721552,8.0
198,M,1.6875,1.3,0.4375,41.4753185,17.860185,8.674947,11.1980525,11.0
199,M,1.425,1.1125,0.3625,24.6924145,9.82310175,5.1879585,8.3631025,15.0
200,M,1.3125,1.0,0.3625,19.74542675,7.93786,4.5642695,5.386405,10.0
201,F,1.525,1.2125,0.4375,34.6147395,13.05494475,7.01650125,10.20582,13.0
202,F,1.4125,1.1375,0.425,22.324299,10.77281,4.7910655,6.3219385,9.0
203,F,1.1375,0.8875,0.3,14.004653,5.65572525,2.76407625,4.3941725,10.0
204,I,0.9375,0.725,0.2,7.27164675,3.515338,1.7293195,2.05533875,7.0
205,M,1.575,1.2,0.4375,31.19862475,15.03940975,6.7188315,8.9300925,12.0
206,I,0.9375,0.6875,0.225,6.180191,2.2963095,1.5025235,1.984465,6.0
207,M,1.4125,1.0875,0.375,26.421734,10.8011595,5.17378375,6.9456275,13.0
208,M,1.4375,1.125,0.35,24.79163775,12.3320325,4.7343665,6.520385,9.0
209,M,1.5125,1.1875,0.45,29.97959625,12.26115875,7.0023265,9.7805775,10.0
210,I,0.75,0.575,0.1875,3.24601775,1.6159215,0.94970825,1.247378,6.0
211,F,1.6125,1.2,0.375,34.79901125,17.293195,6.76135575,8.50485,9.0
212,M,1.175,0.875,0.3,11.793392,4.32329875,2.8066005,3.96893,13.0
213,F,1.625,1.2625,0.4125,36.514156,16.9246515,9.241937,10.0640725,8.0
214,M,1.8125,1.4125,0.4375,57.039194,27.22969475,12.47378,15.12445825,10.0
215,F,1.4375,1.175,0.375,31.6096925,13.721158,7.41339425,7.7961125,12.0
216,M,1.2875,0.9875,0.3375,19.66037825,9.525432,3.52951275,4.35164825,7.0
217,I,0.6375,0.4875,0.175,2.93417325,1.17650425,0.623689,0.7087375,6.0
218,M,1.275,0.9875,0.3125,16.896302,6.0951425,3.685435,4.819415,10.0
219,F,1.575,1.1875,0.4375,33.849303,17.93105875,7.10154975,8.8166945,10.0
220,M,0.6875,0.5125,0.2,2.721552,1.0489315,0.63786375,0.850485,5.0
221,F,1.175,0.9375,0.375,27.895908,13.891255,4.46504625,7.2291225,11.0
222,I,0.775,0.5875,0.1875,3.6003865,1.360776,0.907184,1.13398,5.0
223,I,1.2625,0.9625,0.35,21.1203775,5.74077375,4.479221,6.520385,18.0
224,I,1.0125,0.8125,0.2875,10.8578585,4.7910655,2.608154,3.0900955,6.0
225,F,1.55,1.225,0.4125,34.8415355,15.1669825,7.78193775,10.0640725,9.0
226,I,1.175,0.875,0.2625,18.01610725,8.77417025,3.6003865,4.3941725,8.0
227,I,0.8125,0.625,0.2,5.5848515,2.08368825,1.03475675,1.417475,6.0
228,M,0.85,0.6625,0.2125,5.06038575,2.551455,1.03475675,1.5592225,6.0
229,M,1.45,1.15,0.375,28.19357775,12.23280925,5.42892925,8.3631025,10.0
230,I,1.15,0.875,0.3125,13.08329425,5.88252125,2.50893075,3.33106625,11.0
231,M,1.525,1.2,0.475,31.22697425,13.79203175,7.35669525,8.9300925,9.0
232,M,1.4125,1.1,0.375,26.32251075,11.43902325,6.44951125,7.5126175,11.0
233,F,1.6125,1.25,0.425,41.23434775,17.10892325,8.83086925,12.8990225,14.0
234,I,0.475,0.325,0.075,0.66621325,0.3118445,0.226796,0.18931875,4.0
235,M,1.1,0.85,0.3,13.45183775,6.0384435,3.4869885,4.1106775,8.0
236,M,1.025,0.75,0.2375,8.901743,3.50116325,2.0128145,2.551455,7.0
237,I,0.9625,0.725,0.225,8.107957,3.44446425,1.7860185,2.4097075,7.0
238,F,1.3125,1.0,0.3625,20.97863,7.3992195,4.706017,6.9456275,10.0
239,M,1.7125,1.35,0.475,50.7739545,20.73765925,10.77281,12.3320325,14.0
240,F,1.4625,1.1375,0.3625,29.95124675,12.26115875,6.50621025,8.788345,14.0
241,M,1.625,1.2875,0.475,39.19318375,17.4349425,8.88756825,11.509897,13.0
242,F,1.4625,1.15,0.3875,28.02348075,11.69416875,6.25106475,7.654365,13.0
243,I,0.325,0.2625,0.0875,0.41106775,0.1417475,0.09922325,0.1417475,4.0
244,I,0.9125,0.675,0.2125,5.556502,2.211261,1.2190285,1.984465,6.0
245,I,1.25,0.95,0.35,18.427175,7.0590255,4.66349275,5.953395,9.0
246,M,1.675,1.4,0.4125,45.91201525,17.2081465,10.262519,11.3398,10.0
247,F,1.5125,1.175,0.4125,28.19357775,13.1825175,5.40057975,7.7961125,9.0
248,F,1.475,1.2375,0.4,36.3157095,11.97766375,7.01650125,14.17475,16.0
249,M,1.4375,1.125,0.3625,24.67823975,12.23280925,5.93922025,7.087375,9.0
250,F,1.5,1.1875,0.4,31.56716825,11.623295,6.2652395,9.922325,16.0
251,F,1.525,1.1875,0.425,33.29648775,15.6978555,7.881161,9.7805775,11.0
252,M,1.7125,1.325,0.525,55.46579675,21.92833825,11.963489,18.5689225,10.0
253,F,1.4375,1.125,0.3625,22.75047375,9.17106325,4.57844425,6.23689,12.0
254,M,1.525,1.0875,0.4125,30.1922175,14.21727425,7.427569,8.0796075,10.0
255,F,1.6,1.2625,0.4,39.2073585,17.8885345,9.525432,10.61688775,11.0
256,M,1.475,1.0625,0.325,24.79163775,12.23280925,4.706017,5.6699,8.0
257,I,0.5875,0.4125,0.1375,1.99863975,0.7087375,0.35436875,0.4252425,6.0
258,M,1.5375,1.1875,0.4375,35.50774875,14.98271075,7.66853975,11.1980525,15.0
259,F,1.5,1.2125,0.4375,32.545226,13.5227115,7.4559185,8.6465975,10.0
260,I,0.9625,0.6875,0.2125,7.10154975,2.721552,1.7293195,2.26796,6.0
261,M,1.6375,1.3125,0.4625,39.745999,18.427175,8.32057825,11.4815475,6.0
262,I,1.125,0.8375,0.3,11.5382465,4.86193925,2.721552,3.2601925,7.0
263,I,1.025,0.7875,0.2375,7.95203475,3.118445,1.43164975,2.6932025,7.0
264,M,1.2625,1.0,0.3,17.90270925,8.12213175,4.025629,5.386405,8.0
265,I,0.8375,0.6,0.1875,4.8477645,2.11203775,0.97805775,1.530873,7.0
266,F,1.5875,1.2125,0.45,35.4652245,14.855138,8.03708325,10.489315,13.0
267,M,1.6875,1.3125,0.4375,42.2124055,16.96717575,10.6310625,12.54465375,10.0
268,F,1.5625,1.2375,0.45,34.60056475,15.592225,6.4353365,10.0640725,12.0
269,I,1.125,0.8625,0.2625,14.5432935,6.350288,3.061746,3.7704835,11.0
270,M,1.45,1.1375,0.375,27.839209,11.113004,6.2652395,7.087375,10.0
271,M,1.5625,1.2125,0.375,30.43318825,14.84096325,7.6260155,8.845044,13.0
272,M,1.4625,1.1125,0.35,27.895908,13.891255,5.82582225,7.030676,9.0
273,I,1.0375,0.7625,0.225,8.68912175,3.41611475,1.68679525,2.67902775,6.0
274,F,1.3,1.0375,0.35,19.731252,9.865626,4.40834725,5.386405,9.0
275,F,1.5625,1.2375,0.4375,35.81959325,15.43630275,7.9095105,9.63883,10.0
276,M,1.7,1.35,0.4375,41.80133775,18.540573,10.24834425,10.44679075,9.0
277,F,1.4,1.1375,0.3625,26.80445225,10.04989775,5.556502,8.3631025,17.0
278,M,1.4125,1.1,0.4375,25.3728025,10.75863525,6.123492,7.37087,15.0
279,M,0.9875,0.75,0.3,8.71747125,3.58621175,1.85689225,2.4097075,9.0
280,I,1.175,0.9,0.3125,12.34620725,4.72019175,2.608154,3.5436875,9.0
281,M,1.55,1.225,0.3125,31.18445,11.18387775,6.13766675,8.3631025,14.0
282,F,1.75,1.4125,0.5,62.652395,31.978236,14.514944,14.17475,11.0
283,M,1.3375,1.05,0.4125,25.51455,8.85921875,6.010094,9.8939755,15.0
284,M,1.6375,1.2875,0.4375,39.745999,17.973583,8.43397625,11.7650425,11.0
285,F,1.4375,1.15,0.35,24.70658925,11.453198,4.422522,7.2291225,16.0
286,F,1.2875,1.0,0.35,20.19901875,9.07184,5.25883225,4.9611625,9.0
287,I,1.1,0.825,0.25,10.41844125,4.422522,2.83495,3.40194,7.0
288,I,0.6125,0.4375,0.1625,2.26796,0.89300925,0.396893,0.5953395,1.0
289,F,1.6,1.25,0.475,38.55532,18.3421265,8.85921875,9.7238785,12.0
290,F,1.3125,0.9625,0.3625,21.36134825,11.0846545,4.2807745,5.2446575,11.0
291,M,1.2625,0.975,0.325,18.767369,8.164656,4.52174525,4.66349275,10.0
292,I,0.525,0.375,0.1125,1.304077,0.4819415,0.18427175,0.3685435,4.0
293,M,1.4125,1.0875,0.3,22.89222125,8.731646,5.329706,8.17883075,14.0
294,I,1.325,1.0,0.3625,17.05222425,7.27164675,4.06815325,4.819415,9.0
295,M,1.0,0.75,0.225,8.5331995,4.0539785,1.8427175,2.551455,9.0
296,I,0.7,0.525,0.1625,3.41611475,1.13398,0.83631025,1.13398,5.0
297,M,1.475,1.1375,0.3875,27.51318975,12.34620725,6.406987,7.2291225,9.0
298,F,1.6125,1.275,0.4125,42.48172575,17.19397175,8.54737425,11.5382465,19.0
299,I,0.6375,0.4625,0.1875,2.83495,1.077281,0.5953395,1.03475675,5.0
300,F,1.6,1.2625,0.4125,38.8104655,16.65533125,8.164656,10.489315,10.0
301,F,1.3625,1.05,0.3375,19.901349,8.20718025,6.010094,6.23689,10.0
302,F,1.4125,1.075,0.375,29.8520235,11.9351395,6.3219385,8.50485,14.0
303,I,0.5,0.3625,0.1,1.0489315,0.35436875,0.226796,0.3118445,4.0
304,I,1.025,0.7625,0.2375,8.8733935,3.92640575,1.8427175,2.551455,8.0
305,F,1.2375,0.9625,0.3125,17.76096175,7.93786,3.01922175,4.9611625,9.0
306,M,1.3125,1.0125,0.375,25.27357925,7.10154975,5.5281525,8.3631025,12.0
307,M,1.425,1.1,0.375,25.8263945,9.695529,4.3374735,8.9300925,17.0
308,M,1.375,1.075,0.3625,26.18076325,12.47378,6.02426875,6.9456275,8.0
309,M,1.5875,1.2,0.4125,29.44095575,13.59358525,6.4353365,8.50485,8.0
310,M,1.4625,1.1625,0.4,25.2594045,10.77281,6.30776375,7.93786,10.0
311,I,0.85,0.6375,0.1875,5.10291,1.99863975,1.247378,1.5592225,6.0
312,F,1.375,1.0625,0.3375,21.6873675,9.99319875,5.23048275,5.2446575,10.0
313,F,1.65,1.3125,0.4125,36.10308825,13.6361095,8.8166945,10.035723,9.0
