id,Sex,Length,Diameter,Height,Weight,Shucked Weight,Viscera Weight,Shell Weight,Age
22,M,1.4375,1.0875,0.3875,27.08794725,12.26115875,5.6699,8.3631025,10.0
23,F,1.425,1.0875,0.375,28.10852925,14.13222575,6.16601625,6.9456275,9.0
24,F,1.8,1.425,0.425,52.12055575,15.989118,11.5949455,16.44271,21.0
25,F,1.5375,1.225,0.4125,33.26813825,14.18892475,6.67630725,9.1568885,12.0
26,M,1.525,1.225,0.45,35.59279725,16.23008875,7.78193775,10.0640725,11.0
27,M,1.625,1.225,0.4125,33.3106625,13.42348825,8.051258,9.19941275,11.0
28,I,1.25,0.95,0.3,16.71203025,7.04485075,3.07592075,4.53592,8.0
29,M,1.025,0.8,0.2875,10.0640725,4.03980375,2.097863,3.2601925,11.0
30,F,1.4375,1.1,0.375,28.76056775,14.18892475,6.05261825,6.80388,9.0
31,I,1.0375,0.7625,0.275,8.901743,3.9405805,1.871067,2.5798045,7.0
32,F,1.85,1.5625,0.5,55.35239875,23.2182405,13.22504175,16.5844575,14.0
33,F,1.425,1.0875,0.375,25.44367625,11.679994,4.91863825,7.087375,10.0
34,I,0.7625,0.575,0.2,3.4302895,1.34660125,0.83631025,1.14815475,6.0
35,I,0.8125,0.625,0.225,4.72019175,2.0128145,1.00640725,1.587572,6.0
36,I,1.375,1.0375,0.3625,18.653971,8.71747125,3.40194,5.953395,8.0
37,F,0.875,0.6625,0.25,5.5848515,2.05533875,1.4458245,2.1262125,12.0
38,M,1.475,1.175,0.3875,28.64716975,10.6877615,5.3013565,9.7805775,15.0
39,F,1.125,0.8625,0.3,10.95708175,4.195726,2.42388225,3.742134,16.0
40,F,1.2875,0.975,0.325,15.3937785,6.73300625,3.27436725,4.29494925,8.0
41,F,1.6375,1.2875,0.4375,37.42134,17.4349425,8.51902475,10.9145575,11.0
42,M,1.4875,1.1875,0.3625,30.674159,13.02659525,7.47009325,7.5126175,10.0
43,M,1.75,1.45,0.4375,58.98113475,26.97454925,8.6465975,17.7184375,12.0
44,M,1.6125,1.2125,0.45,35.76289425,16.99552525,9.412034,8.9300925,9.0
45,F,1.3125,1.05,0.3875,18.597272,7.93786,4.4508715,6.22271525,9.0
46,M,1.425,1.1,0.4125,24.6357155,10.41844125,5.76912325,7.654365,9.0
47,I,1.45,1.1375,0.4875,30.71668325,13.05494475,7.41339425,13.324265,15.0
48,I,0.9375,0.7125,0.2125,6.747181,3.04757125,1.54504775,1.984465,6.0
49,M,1.575,1.3125,0.45,42.127357,16.85377775,8.4198015,10.886208,13.0
50,I,1.375,1.125,0.3875,29.69610125,10.716111,5.45727875,8.15048125,18.0
51,I,1.4375,1.1,0.35,24.0687255,10.16329575,4.86193925,7.35669525,10.0
52,M,1.225,0.925,0.35,16.40018575,7.0590255,3.4869885,5.5281525,8.0
53,F,1.475,1.175,0.4,30.1355185,11.97766375,6.90310325,8.9300925,17.0
54,I,0.8375,0.6375,0.225,5.82582225,2.11203775,0.86465975,1.43164975,8.0
55,F,1.6,1.2875,0.4125,31.79396425,12.77144975,7.38504475,10.6310625,13.0
56,M,1.6125,1.25,0.45,37.54891275,14.4298955,8.68912175,13.7495075,11.0
57,M,1.2375,0.9875,0.3,18.75319425,7.540967,3.98310475,5.2446575,11.0
58,M,1.5875,1.2125,0.475,35.02580725,14.50076925,8.88756825,10.489315,25.0
59,F,1.875,1.4625,0.575,64.16909325,25.95396725,12.48795475,16.5844575,14.0
60,M,1.575,1.2375,0.4125,32.2900805,15.12445825,6.917278,8.6465975,11.0
61,M,1.375,1.0375,0.425,24.834162,8.7599955,5.40057975,7.654365,17.0
62,I,0.875,0.65,0.2125,5.25883225,1.984465,1.17650425,1.8427175,7.0
63,F,1.5125,1.15,0.3625,26.12406425,11.35397475,5.9250455,7.8528115,10.0
64,F,1.625,1.225,0.4125,32.4601775,13.93377925,6.6054335,9.2135875,9.0
65,F,1.4375,1.1125,0.4,27.51318975,11.793392,6.4353365,7.654365,12.0
66,I,1.0875,0.825,0.275,10.33339275,4.5075705,2.2963095,3.5436875,9.0
67,M,1.125,0.875,0.3375,14.2030995,5.556502,2.8066005,4.53592,13.0
68,F,1.5,1.1625,0.3625,30.71668325,13.05494475,6.87475375,8.50485,9.0
69,I,0.875,0.6625,0.2125,5.5281525,2.19708625,0.86465975,1.8427175,6.0
70,F,1.525,1.2,0.425,32.16250775,15.97494325,7.35669525,9.922325,8.0
71,I,1.15,0.925,0.25,12.48795475,5.45727875,2.42388225,3.2601925,7.0
72,I,0.925,0.6875,0.2125,6.066793,2.721552,1.7293195,2.26796,7.0
73,I,0.8,0.5,0.1875,5.06038575,2.16873675,0.94970825,0.850485,6.0
74,M,1.4375,1.1,0.35,24.607366,11.15552825,6.1518415,6.6621325,8.0
75,F,1.3,1.075,0.3875,22.01338675,9.99319875,3.86970675,7.087375,8.0
76,F,1.1625,0.9375,0.3375,15.43630275,7.07320025,3.01922175,4.819415,8.0
77,F,1.5,1.1875,0.4,30.1922175,14.92601175,5.99591925,8.9300925,9.0
78,M,1.275,1.0125,0.375,23.65765775,11.43902325,4.4508715,6.6621325,9.0
79,F,1.5625,1.225,0.3625,29.44095575,13.04077,8.66077225,8.29222875,9.0
80,I,1.15,0.8875,0.3125,13.99047825,6.10931725,2.99087225,3.1467945,8.0
81,M,1.15,0.9,0.3125,13.90542975,5.499803,3.84135725,4.66349275,12.0
82,M,0.9375,0.7875,0.2625,8.901743,3.8271825,1.63009625,2.494756,8.0
83,I,1.025,0.8125,0.2625,10.30504325,4.69184225,2.381358,3.118445,6.0
84,F,1.625,1.2875,0.425,41.48949325,14.18892475,9.8372765,11.623295,17.0
85,M,1.4625,1.15,0.3625,25.86891875,12.417081,5.1879585,6.23689,8.0
86,M,1.625,1.2625,0.5,39.02308675,16.4143605,8.8166945,11.3398,13.0
87,I,0.45,0.325,0.1125,0.77961125,0.35436875,0.340194,0.2551455,4.0
88,I,1.15,0.9375,0.2875,13.96212875,5.8683465,3.01922175,4.7343665,10.0
89,M,1.5,1.175,0.3875,27.68328675,12.40290625,5.499803,7.37087,9.0
90,M,1.225,0.9375,0.3125,16.71203025,7.9095105,3.50116325,4.819415,8.0
91,F,1.575,1.2,0.425,34.5013415,18.9091165,8.34892775,8.0796075,8.0
92,M,1.4375,1.125,0.4,27.499015,13.947954,6.10931725,7.7961125,13.0
93,F,1.8375,1.475,0.475,49.8667705,24.834162,9.128539,10.489315,13.0
94,F,1.5125,1.2625,0.4375,34.983283,13.947954,7.3992195,10.20582,14.0
95,M,1.675,1.3125,0.45,39.8877465,17.08057375,6.9456275,11.4815475,9.0
96,F,1.65,1.3125,0.55,42.354153,14.74174,10.602713,11.1980525,16.0
97,I,1.4375,1.15,0.425,28.81726675,10.61688775,4.52174525,8.3631025,16.0
98,M,1.3,0.9875,0.3125,17.67591325,6.78970525,3.86970675,5.10291,15.0
99,F,1.25,0.95,0.3375,14.571643,5.2446575,3.92640575,5.386405,12.0
100,I,1.1,0.8125,0.2875,11.55242125,4.86193925,2.33883375,3.40194,7.0
101,M,0.925,0.6875,0.225,6.42116175,2.6365035,1.70097,2.02698925,10.0
102,F,1.3875,1.125,0.3625,26.54930675,12.1619355,6.19436575,7.030676,10.0
103,M,1.4125,1.1,0.4625,26.60600575,12.11941125,5.3013565,8.06543275,15.0
104,M,1.0375,0.8125,0.3,8.958442,3.44446425,1.8427175,2.79242575,11.0
105,F,1.5625,1.2625,0.5,45.7277435,22.15513425,8.731646,13.324265,12.0
106,F,1.6375,1.275,0.45,45.812792,16.82542825,9.53960675,14.2597985,11.0
107,M,1.675,1.3,0.475,46.67745175,24.76328825,10.9712565,13.891255,10.0
108,M,0.9625,0.725,0.225,6.50621025,2.42388225,1.40330025,2.4097075,6.0
109,M,1.3,1.0,0.3625,20.638436,8.9300925,4.479221,5.386405,9.0
110,M,1.3125,1.025,0.3125,20.25571775,9.412034,4.649318,5.5281525,10.0
111,M,1.6125,1.2625,0.45,40.78075575,14.50076925,7.55514175,11.90679,11.0
112,M,1.65,1.3125,0.45,44.4236665,20.87940675,10.13494625,9.63883,13.0
113,I,0.2625,0.3125,0.0875,0.41106775,0.226796,0.09922325,0.09922325,4.0
114,M,1.3375,1.0375,0.4,21.999212,7.7961125,4.762716,8.03708325,14.0
115,F,1.65,1.275,0.4625,43.09124,18.0586315,10.53183925,12.190285,11.0
116,M,1.375,1.075,0.3875,22.07008575,8.46232575,5.953395,5.6982495,10.0
117,F,1.15,0.9,0.325,14.2030995,6.13766675,3.18931875,4.6776675,10.0
118,M,1.65,1.2875,0.4125,37.874932,15.52135125,8.391452,11.056305,10.0
119,I,0.9,0.6625,0.2125,5.2446575,2.1262125,1.304077,1.5592225,5.0
120,F,1.4875,1.2125,0.3875,32.41765325,13.93377925,6.76135575,8.50485,9.0
121,I,0.8625,0.6375,0.2375,6.13766675,2.721552,1.0489315,2.08368825,7.0
122,M,1.5125,1.175,0.425,32.88542,15.762322,7.24329725,8.6465975,9.0
123,I,1.2,0.975,0.3,18.1153305,9.015141,3.50116325,5.5281525,7.0
124,I,1.225,0.9625,0.3,15.49300175,5.71242425,2.721552,4.6776675,8.0
125,I,1.475,1.125,0.45,26.69105425,10.13494625,5.59902625,7.2291225,10.0
126,F,1.5625,1.2,0.4,30.51823675,13.834556,7.1724235,8.3631025,10.0
127,F,1.675,1.2875,0.5,38.82464025,14.04717725,8.37727725,11.623295,17.0
128,I,1.225,0.95,0.3375,17.236496,7.654365,3.572037,5.2446575,8.0
129,I,0.875,0.6875,0.1875,5.06038575,2.48058125,0.86465975,1.13398,6.0
130,F,1.325,1.0125,0.35,17.30736975,7.27164675,4.80524025,5.896696,8.0
131,I,1.125,0.8375,0.2625,11.89261525,5.0745605,2.4664065,3.8271825,7.0
132,F,1.2875,1.0625,0.3,20.19901875,8.54737425,4.819415,8.9300925,12.0
133,M,1.375,1.0625,0.3375,19.1926115,8.334753,4.932813,5.5281525,10.0
134,M,1.5875,1.225,0.3875,32.98464325,15.025235,7.44174375,8.0796075,10.0
135,I,1.2125,0.95,0.3125,15.87572,6.8889285,3.061746,4.819415,8.0
136,F,1.75,1.4375,0.45,52.43240025,27.21552,11.623295,11.90679,11.0
137,I,1.3125,1.025,0.3125,21.41804725,9.87980075,4.479221,5.386405,9.0
138,F,1.375,1.1,0.4,25.798045,8.60407325,5.329706,7.93786,13.0
139,M,1.4375,1.125,0.4,26.308336,13.90542975,6.066793,7.37087,9.0
140,I,1.15,0.9125,0.25,13.210867,6.25106475,2.8066005,3.8271825,8.0
141,F,1.6125,1.325,0.45,43.318036,19.6462035,10.56018875,11.7650425,11.0
142,I,0.5875,0.45,0.15,2.0695135,0.793786,0.510291,0.623689,5.0
143,M,1.35,1.0875,0.3625,22.80717275,10.67358675,4.09650275,6.23689,11.0
144,M,1.6375,1.35,0.45,39.7743485,16.726205,7.52679225,11.90679,12.0
145,I,1.25,1.0,0.3125,16.9246515,7.07320025,2.67902775,4.7910655,10.0
146,I,1.4,1.125,0.3875,23.7285315,8.15048125,5.06038575,7.37087,9.0
147,M,1.6625,1.2625,0.4375,39.76017375,20.70930975,8.2497045,9.4970825,11.0
148,I,0.9625,0.7125,0.225,7.654365,2.65067825,1.48834875,1.871067,8.0
149,F,1.2875,1.0125,0.3375,19.17843675,8.29222875,4.4508715,5.5281525,9.0
150,I,1.025,0.7875,0.25,8.901743,3.1467945,1.51669825,2.83495,8.0
151,M,1.45,1.15,0.3625,26.46425825,11.01378075,5.74077375,7.7961125,8.0
152,I,0.725,0.5,0.2375,4.12485225,2.11203775,0.94970825,1.20485375,6.0
153,I,1.3875,1.075,0.3125,19.80212575,8.34892775,3.8838815,5.953395,9.0
154,M,1.55,1.2125,0.475,37.57726225,16.51358375,7.24329725,11.623295,13.0
155,M,1.175,0.8875,0.3125,13.53688625,5.96756975,2.5231055,3.40194,8.0
156,I,0.5625,0.4125,0.15,1.54504775,0.75126175,0.396893,0.623689,4.0
157,M,1.6,1.225,0.3875,32.6869735,13.13999325,7.10154975,8.7599955,11.0
158,I,1.4375,1.125,0.3875,28.47707275,15.762322,5.5281525,7.12989925,9.0
159,F,1.4375,1.1375,0.3375,22.792998,9.6671795,5.6699,6.520385,9.0
160,M,1.3,1.0125,0.3125,21.5172705,7.257472,5.273007,7.7961125,10.0
161,M,1.3,1.0625,0.3375,26.86115125,12.133586,4.479221,7.37087,9.0
162,I,0.9,0.675,0.225,4.706017,1.74349425,0.83631025,1.530873,7.0
163,M,1.0875,0.825,0.2875,12.94154675,4.6209685,2.608154,4.819415,9.0
164,M,1.1625,0.875,0.35,28.689694,14.5432935,6.520385,6.3786375,8.0
165,I,0.8875,0.65,0.225,5.34388075,2.154562,1.304077,1.5592225,5.0
166,M,1.4375,1.125,0.3875,26.71940375,12.85649825,5.17378375,7.7961125,9.0
167,I,1.025,0.775,0.25,8.618248,3.912231,1.48834875,2.42388225,8.0
168,I,0.725,0.5375,0.1625,3.628736,1.644271,0.737087,1.13398,5.0
169,I,0.95,0.7125,0.2125,6.70465675,2.73572675,1.43164975,1.984465,7.0
170,F,1.525,1.125,0.5,29.823674,12.757275,6.8889285,8.6465975,12.0
171,I,1.45,1.1375,0.375,23.3883375,10.4609655,4.8477645,7.37087,9.0
172,I,0.9625,0.7,0.225,6.13766675,2.721552,1.0489315,2.1262125,8.0
173,M,1.2,0.9,0.3,16.9246515,7.030676,5.329706,3.8271825,7.0
174,I,1.0625,0.8125,0.275,9.808927,5.556502,1.65844575,2.83495,7.0
175,I,1.375,1.075,0.375,22.83552225,9.8372765,4.77689075,6.3219385,10.0
176,M,1.5125,1.1625,0.45,31.071052,14.401546,7.37087,9.7805775,10.0
177,F,1.325,1.0625,0.3375,23.019794,11.169703,5.4714535,6.3786375,8.0
178,F,1.4,1.1,0.375,26.80445225,11.396499,5.57067675,7.087375,8.0
179,M,1.5,1.175,0.35,30.80173175,13.62193475,7.27164675,8.3631025,10.0
180,F,1.6,1.2875,0.4375,36.35823375,13.48018725,6.577084,10.9145575,20.0
181,M,1.4375,1.0875,0.3875,28.16522825,12.6722265,5.839997,7.7961125,10.0
182,I,1.3125,1.0,0.375,16.76872925,6.6054335,4.025629,5.2446575,9.0
183,F,1.75,1.4375,0.4375,44.5370645,18.653971,10.77281,14.1464005,11.0
184,I,0.95,0.725,0.225,7.78193775,3.38776525,1.6159215,2.26796,7.0
185,M,1.675,1.35,0.475,38.612019,13.53688625,7.35669525,13.324265,19.0
186,M,1.8,1.4375,0.5125,63.389482,32.47435225,13.9196045,16.08834125,9.0
187,M,1.6,1.25,0.4125,32.0065855,12.47378,7.66853975,10.20582,13.0
188,I,1.0375,0.8125,0.25,8.8733935,3.9405805,1.80019325,2.6932025,7.0
189,I,0.6,0.4375,0.1375,1.94194075,0.793786,0.396893,0.5953395,4.0
190,I,0.9125,0.675,0.2375,5.556502,2.25378525,1.26155275,1.984465,6.0
191,I,1.1125,0.85,0.325,11.89261525,4.77689075,2.50893075,3.685435,8.0
192,I,0.95,0.725,0.25,8.34892775,3.912231,1.88524175,3.345241,6.0
193,I,0.9875,0.75,0.2625,8.618248,4.46504625,2.28213475,2.1262125,7.0
194,I,1.15,0.9,0.2875,13.56523575,6.19436575,3.061746,3.3168915,8.0
195,F,1.4375,1.15,0.425,26.52095725,8.561549,5.8683465,8.788345,27.0
196,F,1.475,1.1625,0.35,30.51823675,12.927372,5.499803,8.788345,10.0
197,I,0.9625,0.725,0.225,7.1157245,3.58621175,1.5025235,1.984465,6.0
198,I,1.2,0.9375,0.2625,14.8834875,7.41339425,2.96252275,3.8271825,7.0
199,M,1.4625,1.15,0.375,31.90736225,14.10387625,6.973977,9.7805775,12.0
200,I,0.8,0.6,0.1875,4.309124,1.60174675,0.86465975,1.8427175,6.0
201,F,1.15,0.9,0.275,12.74310025,4.63514325,2.948348,4.252425,12.0
202,F,1.6375,1.25,0.475,40.483086,16.68368075,9.015141,11.056305,8.0
203,M,1.575,1.1875,0.4375,29.24250925,12.09106175,6.690482,7.087375,9.0
204,F,1.6125,1.3125,0.4375,41.8863863,19.334359,10.56018875,11.3398,11.0
205,M,1.4875,1.175,0.45,29.49765475,10.4609655,6.22271525,10.20582,13.0
206,F,1.7875,1.4625,0.5375,56.14618475,25.3161035,11.9351395,18.427175,20.0
207,F,1.5,1.1375,0.375,30.674159,13.08329425,7.0590255,7.7961125,9.0
208,I,0.75,0.55,0.2,3.9405805,1.17650425,0.680388,0.850485,6.0
209,I,0.925,0.7,0.225,7.144074,3.01922175,1.757669,2.1262125,6.0
210,M,1.575,1.2125,0.375,27.37144225,10.9712565,6.76135575,8.3064035,10.0
211,M,1.575,1.225,0.4375,31.59551775,13.79203175,7.3992195,8.788345,11.0
212,M,1.5625,1.2375,0.4,34.5013415,14.0330025,6.6054335,8.0796075,10.0
213,I,1.2,0.8875,0.3,14.7133905,7.04485075,3.798833,3.40194,8.0
214,I,1.1875,0.9125,0.3,13.39513875,6.10931725,3.10427025,3.40194,8.0
215,I,0.775,0.5375,0.1875,3.27436725,1.5025235,0.72291225,1.03475675,7.0
216,I,0.9625,0.7375,0.25,9.39785925,4.63514325,1.91359125,2.551455,7.0
217,I,1.1375,0.925,0.2875,14.458245,6.7188315,3.30271675,4.1106775,9.0
218,F,1.45,1.125,0.375,26.26581175,11.623295,5.23048275,6.917278,8.0
219,M,1.575,1.2875,0.4625,35.0116325,10.77281,8.37727725,11.056305,17.0
220,I,0.95,0.7125,0.2375,6.7755305,2.2963095,1.37495075,1.984465,7.0
221,I,0.925,0.7,0.2125,6.23689,2.59397925,1.37495075,1.984465,7.0
222,F,1.5125,1.175,0.4125,34.5013415,15.03940975,7.75358825,8.164656,15.0
223,I,0.75,0.575,0.15,3.3168915,1.34660125,0.69456275,1.13398,6.0
224,F,1.1375,0.825,0.3375,11.5949455,4.309124,2.65067825,3.118445,16.0
225,F,1.5875,1.3,0.475,36.44600275,14.1464005,8.09378225,10.6310625,13.0
226,F,1.4875,1.175,0.4,31.79396425,12.8423235,7.314171,8.9300925,11.0
227,M,1.6125,1.25,0.4,35.19590425,16.612807,8.54737425,8.9300925,10.0
228,M,1.675,1.35,0.4375,41.560367,17.08057375,8.4765005,11.679994,9.0
229,F,1.55,1.2,0.3875,30.504062,12.0485375,6.2085405,9.4970825,11.0
230,F,1.65,1.2875,0.4375,43.1762885,20.695135,6.87475375,12.40290625,13.0
231,I,1.1875,0.8875,0.3125,13.96212875,5.2446575,2.6932025,4.23825025,12.0
232,I,1.6,1.2125,0.375,32.36095425,16.37183625,6.917278,8.448151,9.0
233,I,1.3875,1.0875,0.3625,22.4244545,10.81533425,4.49339575,5.443104,8.0
234,F,1.6375,1.25,0.45,36.4291075,16.9813505,8.9867915,9.922325,12.0
235,F,1.375,1.0375,0.3375,23.74270625,9.85145125,4.86193925,7.93786,11.0
236,M,1.6,1.2375,0.4375,35.67784575,14.13222575,8.23552975,11.056305,16.0
237,I,1.5125,1.1625,0.3625,29.256684,11.963489,6.8889285,8.0796075,11.0
238,M,1.425,1.1625,0.3875,24.5790165,11.41067375,5.386405,6.520385,12.0
239,I,1.0375,0.775,0.25,10.1774705,4.9044635,2.48058125,2.83495,7.0
240,M,1.675,1.3375,0.55,50.8306535,13.05494475,10.87203325,14.231449,12.0
241,I,1.0,0.7625,0.225,9.19941275,3.86970675,1.927766,2.778251,7.0
242,F,1.5625,1.2125,0.4875,35.6920205,16.51358375,8.49067525,9.7805775,11.0
243,M,1.4875,1.1875,0.3875,29.97959625,13.79203175,6.13766675,9.07184,10.0
244,I,0.925,0.6875,0.25,7.7961125,3.061746,1.70097,2.45223175,6.0
245,M,1.6,1.25,0.4,31.51046925,14.75591475,7.994559,8.6465975,10.0
246,M,1.1875,0.9625,0.3125,15.365429,4.6776675,2.608154,4.819415,9.0
247,M,1.45,1.175,0.35,31.62386725,13.2959155,7.27164675,8.1363065,10.0
248,I,0.95,0.6875,0.2375,7.95203475,3.231843,1.65844575,2.551455,7.0
249,I,1.125,0.8375,0.25,12.0485375,5.5281525,2.50893075,3.2601925,7.0
250,M,1.4125,1.1375,0.3625,26.20911275,10.61688775,5.17378375,8.50485,17.0
251,F,1.7625,1.325,0.425,43.98424925,22.80717275,11.963489,9.355335,11.0
252,M,1.425,1.0875,0.3,21.72989175,9.62465525,4.3374735,6.6621325,8.0
253,F,1.55,1.175,0.4,29.0582375,12.77144975,4.23825025,8.788345,10.0
254,F,1.6375,1.2125,0.45,35.62114675,16.499409,8.40562675,9.02931575,11.0
255,F,0.9375,0.7,0.2125,6.19436575,2.7499015,1.03475675,1.5592225,7.0
256,M,1.475,1.125,0.3625,26.12406425,10.035723,6.59125875,7.27164675,9.0
257,M,1.5125,1.125,0.375,28.7180435,13.19669225,5.726599,7.087375,9.0
258,F,1.525,1.2125,0.425,30.107169,10.886208,6.80388,10.77281,20.0
259,F,1.175,0.9125,0.3125,14.2030995,5.6982495,3.345241,4.6776675,10.0
260,F,1.7125,1.325,0.5,44.22522,15.37960375,6.9456275,13.04077,20.0
261,M,1.6,1.225,0.375,33.92017675,17.61921425,6.7755305,7.5126175,9.0
262,M,1.475,1.1375,0.4125,28.33532525,12.0485375,5.96756975,7.93786,13.0
263,M,1.125,0.875,0.2875,13.90542975,5.37223025,3.6003865,3.8271825,11.0
264,I,0.75,0.575,0.175,3.38776525,1.4458245,0.77961125,0.850485,5.0
265,I,0.475,0.325,0.125,1.020582,0.35436875,0.18427175,0.35436875,5.0
266,M,1.7375,1.375,0.4375,51.5110415,26.988724,10.375917,12.47378,9.0
267,I,1.2625,0.95,0.3375,16.2442635,7.7394135,3.35941575,4.7343665,8.0
268,M,1.2125,0.9625,0.3375,17.50581625,6.90310325,4.025629,6.0951425,15.0
269,M,1.475,1.1125,0.4,32.1199835,13.16834275,6.22271525,8.0796075,8.0
270,F,1.25,1.0125,0.3625,17.0380495,7.6827145,4.01145425,5.10291,10.0
271,M,1.5375,1.25,0.4375,36.61337925,16.612807,8.34892775,9.4970825,11.0
272,F,1.475,1.15,0.375,26.20911275,12.28950825,6.22271525,7.2291225,6.0
273,M,1.4875,1.1375,0.35,25.174356,9.695529,5.25883225,7.7961125,8.0
274,I,1.2375,0.9625,0.3,13.84873075,5.6699,2.9199985,4.3941725,7.0
275,M,1.3625,1.075,0.3875,24.607366,12.00601325,5.783298,7.087375,11.0
276,F,1.275,1.0,0.3375,22.12678475,9.48290775,5.2446575,5.726599,9.0
277,M,1.7375,1.325,0.5125,49.34230475,21.98503725,11.566596,13.60776,10.0
278,I,0.7375,0.5125,0.2125,4.3941725,1.54504775,0.86465975,1.23320325,6.0
279,F,1.5625,1.2125,0.375,31.99241075,15.0535845,7.98038425,7.93786,13.0
280,I,0.7375,0.55,0.175,3.6003865,1.77184375,0.8788345,0.9922325,5.0
281,I,0.975,0.725,0.2375,8.12213175,3.175144,2.08368825,2.26796,7.0
282,M,1.4875,1.175,0.3625,27.0737725,11.26892625,6.22271525,9.922325,13.0
283,F,1.4375,1.1375,0.425,28.76056775,8.3064035,6.36446275,9.08601475,20.0
284,I,0.7,0.525,0.2,3.16096925,1.360776,0.66621325,0.850485,5.0
285,F,1.175,0.9375,0.3375,16.25843825,6.747181,3.685435,4.9611625,9.0
286,M,1.375,1.1625,0.4125,31.9498865,14.3164975,7.314171,7.93786,11.0
287,F,1.6625,1.3125,0.4625,39.745999,19.220961,8.32057825,12.40290625,11.0
288,M,1.7375,1.4,0.55,51.5110415,22.2543575,12.43125575,16.612807,14.0
289,F,1.4875,1.1875,0.3375,27.0170735,11.623295,5.329706,7.7961125,8.0
290,F,1.5125,1.175,0.4,28.64716975,11.453198,6.44951125,8.3631025,11.0
291,I,1.25,0.9625,0.3375,18.75319425,8.34892775,3.95475525,5.386405,8.0
292,M,1.375,1.1125,0.4,26.2799865,12.62970225,6.010094,7.087375,10.0
293,I,1.325,1.0625,0.3875,21.9708625,7.2291225,5.17378375,7.2291225,12.0
294,I,1.1875,0.875,0.2875,13.210867,5.40057975,2.8066005,4.0539785,8.0
295,M,1.4875,1.1625,0.3875,31.1561005,13.834556,6.350288,8.788345,10.0
296,I,1.1375,0.9,0.3125,13.02659525,6.10931725,3.005047,4.252425,8.0
297,M,1.5125,1.1625,0.425,29.07241225,11.679994,7.087375,8.9300925,11.0
298,I,1.4375,1.125,0.4625,32.50270175,9.865626,6.22271525,8.221355,20.0
299,F,1.725,1.3625,0.45,47.7689075,19.6462035,9.241937,13.324265,14.0
300,I,0.8875,0.7125,0.25,9.07184,4.01145425,2.36718325,2.26796,7.0
301,M,1.225,0.975,0.3125,17.179797,7.01650125,3.9972795,4.6776675,10.0
302,F,1.6125,1.275,0.475,39.33493125,18.75319425,8.391452,11.623295,10.0
303,M,1.2125,0.8875,0.3,16.45688475,6.73300625,3.44446425,5.2446575,10.0
304,F,1.5875,1.2,0.4125,36.117263,16.51358375,9.56795625,8.9300925,11.0
305,F,1.5,1.1625,0.475,33.83512825,14.6566915,7.01650125,9.4970825,11.0
306,F,1.3125,1.0,0.3125,22.849697,10.16329575,4.422522,5.10291,9.0
307,I,0.525,0.375,0.1125,1.020582,0.4819415,0.226796,0.4252425,3.0
308,M,1.4125,1.1375,0.375,29.1149365,15.88989475,6.180191,7.5126175,9.0
309,I,0.675,0.4875,0.1625,2.721552,1.26155275,0.55281525,0.850485,6.0
310,M,1.4,1.075,0.4,26.138239,11.49572225,6.08096775,8.221355,9.0
311,M,1.5,1.2125,0.375,29.0015385,12.20445975,6.520385,8.0796075,11.0
312,F,1.125,0.875,0.3375,13.08329425,5.0178615,2.67902775,4.3941725,11.0
313,F,1.575,1.225,0.4125,32.16250775,13.42348825,6.67630725,8.3631025,9.0
